,index,coffee_name,total_score,roaster_location,coffee_origin,roast_level,est_price,agtron_ground,agtron_roast,price_per_ounce,origin_country,roast_level2,roast_level_count,total_score2,total_score_count
687,688,Ethiopia Gera Reserve Anaerobic Natural,94.0,"Youngstown, Ohio","Djimma growing region, Oromia State, Ethiopia",Light,$19.50/10 ounces,62.0,84.0,19.5,Ethiopia,,,,
688,689,Kenya Ngaita Peaberry,94.0,"San Diego, California","Kiambu County, Kenya",Medium Light,$27.00/14 ounces,60.0,77.0,27.0,Kenya,,,,
689,690,Kenya AB,94.0,"New Taipei City, Taiwan","Nyeri growing region, south-central Kenya",Light,NT $750/230 grams,64.0,84.0,26.455026455026452,Kenya,,,,
690,691,Kona Noir,94.0,"Mountain View, Hawaii","Holualoa, Kona, Big Island of Hawai’i",Light,$29.00/4 ounces,62.0,80.0,29.0,,,,,
691,692,Kona Red Bourbon,94.0,"Mountain View, Hawaii","Holualoa, Kona, Big Island of Hawai’i",Medium Light,$49.00/10 ounces,60.0,78.0,49.0,,,,,
692,693,Kenya Washed Nyeri Hill Farm AA Top,96.0,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $390/8 ounces,60.0,77.0,390.0,Kenya,,,,
693,694,Ethiopia Nano Genji,95.0,"Sacramento, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,$25.50/12 ounces,62.0,80.0,25.5,Ethiopia,,,,
694,695,Ethiopia Natural Sidama Abebe 74110,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $300/4 ounces,62.0,80.0,300.0,Ethiopia,,,,
695,696,Ethiopia Natural Guji TAMIRU 74158 Kakalove Lot,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,NT $350/4 ounces,64.0,84.0,350.0,Ethiopia,,,,
696,697,Rwanda Sholi Natural Single-Origin Espresso,94.0,"Sacramento, California","Muhanga, Rwanda",Medium Light,$22.00/12 ounces,56.0,72.0,22.0,Rwanda,,,,
697,698,Guatemala Washed Finca El General Lot SummerEnd Espresso,94.0,"Chia-Yi, Taiwan","Acatenango, Chimaltenango Department, Guatemala",Medium Light,NT $240/8 ounces,56.0,74.0,240.0,Guatemala,,,,
698,699,Guatemala Washed Acatenango Finca El General Pacamara Espresso,94.0,"Chia-Yi, Taiwan","Acatenango, Chimaltenango Department, Guatemala",Medium Light,NT $350/8 ounces,58.0,78.0,350.0,Guatemala,,,,
699,700,Finca Cerro Azul Aces Lot,94.0,"Billings, Montana","Guerrero State, Mexico",Medium Light,$32.25/8 ounces,61.0,79.0,32.25,Mexico,,,,
700,701,Gachatha Kenya,96.0,"Madison, Wisconsin","Karundu, Nyeri County, Kenya",Medium Light,$24.00/12 ounces,59.0,77.0,24.0,Kenya,,,,
